Casenumer,Jurisdiction,Question,Summary
424674,Huurrecht - (overig),Reactie via formulier op jurofoon.nl,moeder heeft een huurwoning maar kan nu naar verzorgingshuis. De inwonende/niet medehuurder maar wel ingeschreven op het adres zou daar willen blijven wonen. wat zijn de mogelijkheden?
424687,Huurrecht - Huurzaken bedrijven,Reactie via formulier op jurofoon.nl,"Als ik een stuk grond huur op een bedrijventerrein van meerdere transportondernemers, wie moet dan voor een goede toegang zorgen? De huurder of verhuurder?"
424703,Sociaal Verzekeringsrecht - (overig),Reactie via formulier op jurofoon.nl,als je AOWpensioen heeft en ga in het buitenland samenwonen geldt dan ook de beslagvrije voet bij beslag door de deurwaarder
424710,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,Wij hebben onenigheid met de buren over gezamelijke schutting. Hij communiceerd direkt via zijn rechtsbijstand. Hoe kan ik het best reageren / wat zijn mijn rechten ?
424713,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Beste,  In februari loopt mijn 3e jaarcontract af, hoelang van te voren dient mijn werkgever uiterlijk aan te geven of deze wel of niet word verlengd?  mvg Eric"
424714,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,"client via internet: ik betaal nu voor twee kinderen 260 euro alimentatie, ik binnenkort trouwen en mijn nieuwe partner heeft een dochter van 3 jaar, wat gaat er veranderen in mijn alimentatieplicht naar mijn ex-partner, en hoe kan ik dat gaan veranderen. mvg martin."
424716,Huurrecht - Huurzaken particulieren,Reactie via formulier op jurofoon.nl,"Lucas: screening aangemaakt, zie belnotitie.    Bericht client:    Hoe vaak kan ik een huurcontract voor bepaalde tijd verlengen?"
424720,Strafrecht - (overig),Reactie via formulier op jurofoon.nl,Kan een werkgever aangifte doen tegen een werknemer die zwart bij hem heeft gewerkt? De werkgever zegt dat hij bewijs heeft dat de werknemer heeft gestolen. Wat zijn de gevolgen voor werkgever en werknemer in verband met het zwart werk?
424755,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,ik heb een dochter van 14 die mij door verkeerde en gemene info van de moeder niet meer wil zien.. af en toe een mail met verwijten maar verder niks.  heb haar moeder regelmatig een mail gestuurd omdat ik wil weten wat er allemaal in het leven van mijn dochter gebeurd maar krijg niks terug. ze heeft zelfs een ander telefoon nummer genomen zodat ik haar daar niet meer kan bereiken. via een mail van mijn dochter heb ik gehoord dat ik geen comtact meer op mag nemen met haar moeder omdat die mij toch niks meer wil vertellen.  ze zijn verhuisd maar heb geen idee waar heen.naar mijn weten is moeder verplicht mij op de hoogte te houden over mijn dochter. maandelijks. mijn dochter zit in een jeugd kliniek voor psychische problemen maar van moeder hoor ik niks. ze heeft me jaren geleden op een slimme manier uit de ouderlijke macht gekregen. ik heb geen poot om op te staan.maar ik moet wel elke maand allimentatie betalen. ik weet niet waar dat geld heen gaat of blijft.ik wil die alimentatie niet meer gaan betalen aan haar en hopen dat ze zo eindelijk wel contact opneemt maar weet niet of dat een slimme manier is.. hebben jullie advies?    met vriendelijke groet ricardo caruso
424764,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,Mijn vriend heeft een studieschuld bij de IB groep. Ivm de komst van een kindje o.a. willen we binnenkort gaan trouwen.  Mijn vraag is ofde schuld van mijn vriend ook mijn schuld wordt als wij gaan trouwen.  Moet ik dan trouwen onder huwelijkse voorwaarden?
424768,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,Mijn dochter is 17 jaar. Er zijn veel problemen. Vanaf haar 15e heeft zij in een jeugdinstelling gewoond. Jeugdzog en andere instanties en ikzelf hebben haar gebrobeerd te helpen. Zij heeft nu alle contact met de hulp verlening verbroken. Ze woont nu bij haar vriend van 27. En niet zon goede man die al veel veroordelingen achter de rug heeft. Ik ben bedreigt door haar en haar vriend ze hebben me gebrobeerd te chanteren. Verleden week heb ik bij de gemeente door gegeven dat zij niet meer thuis woont. Ik ben bang voor doetes en schades die zij gaat maken. De gemeente stelde dat als zij niet meer thuis woont dat ik dan niet meer verantwoordelijk ben voor haar. Is dat zo? wat kan ik nog meer doen?
424781,Arbeidsrecht - Ontslag,Reactie via formulier op jurofoon.nl,"Lucas: screening aangemaakt, zie belnotitie.    Bericht client:    ik krijg ontslag om bedrijfseconomische redenen en ben het hier niet mee eens"
424815,Huurrecht - (overig),Reactie via formulier op jurofoon.nl,"we willen t huis van mijn schoonvader verkopen, maar er zit nog een huurder in. deze huurder heeft een ander contract gehad van ons en we hebben optijd t kontract opgezegd. hij ging er niet uit. vervolgens heeft hij mondeling toegezegd in december 2010 dat hij in januari 2011 er uit ging. dus wij t huis verkocht. kregen we net te horen van die huurder dat hij nu niet van plan is er uit te gaan en dat wij verplicht zijn hem 10.000 euro te betalen. deze meneer loopt steeds 3 maanden achter met t betalen van de huur. dan rond de 4e maand betaald hij weer eens en dan loopt hij weer achter. wat zijn onze rechten hier. en wat kunnen we en mogen wij doen. t huis moet deze maand leeg zijn zo staat t in t koopcontract. maar zolang hij er in blijft zitten krijgen wij t huis niet weg. en kunnen we t overlijden van mijn schoonvader ook niet een plekje geven. en omdat hij nu al 1,5 jaar dood is willen we dit dus nu ook graag afsluiten. en al 1,5 jaar doet deze meneer lastig. de andere huurders die er in zaten zijn wel zonder problemen eruit gegaan."
424854,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Geldautomaat, parkeerautomaat, kaartjesautomaat is kapot (computerstoring) en geeft waardepapier (plastic) uit zonder het bedrag van bank af te schrijven. In hoeverre kan het bedrijf achteraf dit bedrag terugvorderen bij een klient die misbruik maakt van deze situatie en in hoeverre is klient schuldig aan eventuele  overtreding of misdrijf ???  Noortje:   Het gaat om het opladen van een chipknip mbt het reizen in de bus en de tram."
424855,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,"Kunt u mij zeggen wat er precies in een verzoekschrift aan de kantonrechter moet worden vermeld, als het gaat om vaststelling van de alimentatie voor een kind?  Bij voorbaat dank.  Vriendelijke groeten,  Jutta Uiterwaal"
424885,Strafrecht - (overig),Reactie via formulier op jurofoon.nl,"Hallo, ik heb eind 2008 aan de deur een contract voor een leesmap getekend, voor de duur van 2 jaar, het contract zou ingaan in februari van het jaar 2009, op mijn nieuwe adres. Nu heb ik halverwege november 2010, opgezegd, ik kan de map niet meer betalen, heb een 1 euro per uur reïntregratie-baan voor 25 uur pw, komt nog bij dat ik s nachts werk, dus ben ik vaak nog niet thuis als  de bezorger komt, en ik ga niet s avonds om 22.00 de leesmap(met weekgeld) voor de deur leggen. Ik heb dat bij de opzegging óók als reden voor opzegging gegeven.Maar nu kreeg ik een schrijven, dat ik een opzegtermijn van 3 mnd. in acht had moeten nemen, en dús is het contract tot 2012 verlengd, dus zit ik er nog een jaar aan vast, en ik voorzie grote moeilijkheden, om bovengenoemde redenen, kan ik hier nu écht niet meer onderuit?  Bvd, Tineke."
424920,Strafrecht - (overig),Reactie via formulier op jurofoon.nl,Wat voor advocaat heb ik nodig voor een gesprek met de directie van mijn kinderopvang over mishandeling van mijn kinderen in 2009?
424961,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,Vaststellen kindealimentatie als er in beide gezinnen sprake is van duurzaam samenwonen. Waar kunnen we op rekenen?
424973,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Mijn vrouw en ik hebben een begrafenis verzekering waarvan de pollissen een eind datum van premie betaling op januari 2011 staat vermeld. Echter nuvema zegt dat onze eind datum is verandert naar 2013.  Daar weten we niets van!Nu hebben ze ons een kopie gemaild waar ons in 1998 een premie verhoging word gemeld en als we niet voor een bepaalde datum zouden hebben gereageerd de einddatum wordt verlengt als we de premie verhoging niet zouden kiezen, deze kopie laat een plaats zien waarop wij zouden moeten hebben getekend,er staat van ons beide geen handtekening.Kan ik hier verweer op hebben?Eventueel kan ik de kopieen van de polissen en de briefen U toe mailen.  vr gr Peter en Dineke Elema"
424991,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,ik heb 3/1 opgezegd en in mijn contract staat volgend artikel: Tussentijdse opzegging is mogelijk mits partijen een opzegtermijn hanteren van een maand. Er staat geen verwijzing naar een CAO in het contract. Wanneer eindigd contract op 3/2 of 1/3
425010,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,expartner en ik hebben een gezamelijke koopwoning. ex heeft besloten daar te blijven wonen. doordat de hypotheek bij dsb bank loopt is ontslag hoofdelijk aansprakelijkheid niet mogelijk. heb zelf een huurwoning via woningbouw. ex wil dat ik nu mee ga betalen aan woningen. dubbele lasten is niet haalbaar voor mij financieel. ex heeft alimentatie stopgezet. wat te doen?
425066,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,VAN 40 UUR WERKEN NAAR 36 UUR.  WIL OP WOENSDAG MIDDAG VRIJ. nU MOET IK EERST WACHTEN OP EEN NIEUWE COLLEGA DIE NOG COMPLEET ONBEKEND IS.  ALS DE NIEUWE DAME NIET OP WOENSDAG WENST TE WERKEN HEB IK PECH. MAG DAT?
425076,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"Na samen wonen heeft mijn partner dan bij het uit elkaar gaan recht op inboedel, heb gehoord dat dit zo is na 7 jaar. We zijn niet getrouwd en hebben geen samenlevings overeenkomst, het koophuis waarin wij wonen staat alleen op mijn naam. Tijdens ons samenwonen heb ik alles betaald waarbij ik gespaard geld heb moeten gebruiken om rond te komen, zij heeft voor de kinderen en de huishouding gezorgd."
425106,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,Wij willen geholpen worden met het schrijven van een dagvaarding tegen een redelijke prijs. Het betreft een (naar onze mening) niet ingewikkelde juridische zaak met de buren.
425114,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Ik heb een doorlopend krediet afgesloten voor mijn schoonzus. Hoogte van de lening is 15000 euro. De afspraak is dat zij EUR 300 per maand op mijn rekening stort en iedere maand wordt ook 300 van mijn rekening afgehaald, dit is de minimum aflossing aan het doorlopend krediet. Dit is de laatste 1,5 jaar min of meer goed gegaan, soms heeft zij gestort, soms niet, soms een gedeelte van het bedrag. Nu is er onenigheid ontstaan en ik wil weten welke stappen ik kan ondernemen om mijn geld, eventueel sneller, terug te krijgen. Er is geen officieel contract afgesloten, maar alles is via de bank gegaan en in een antwoord op een email van mij geeft zij toe dat zij het geld heeft geleend en dat de afspraak is om 300 per maand terug te storten."
425139,Strafrecht - (overig),Reactie via formulier op jurofoon.nl,"Goede middag,    Mijn vraag is als volgt.  2,5 jaar geleden ben ik misbruikt door een toenmalige goede vriend. De dag erna heb ik de politie gebeld en ben op gesprek geweest. Op dat moment was het te zwaar en kon ik het niet aan om aangifte te doen. Een jaar later heb ben ik nogmaals naar de politie gegaan maar dit is mij zeer slecht bevallen. Zo moest ik persee naar district Oosterhout omdat het in dat district heeft voorgevallen en mocht ik absoluut niet gewoon in mijn eigen woonplaats met de politie spreken volgends hun. Wat mij ook zeer tegenviel is dat er volgends de politie persee 1 man en 1 vrouw de aangifte moesten opnemen, wat ik zeer vreemd vind aangezien ik door het voorval ik absoluut geen vertrouwen heb in mannen op dat gebied en ik me dus ook helemaal niet gemakkelijk voelde bij de situatie. Daarnaast kreeg ik het gevoel dat ze zoiets hadden van: oh daar hebben we er weer 1, en voelde ik me ook niet serieus genomen en daarbij behandelde ze mij meer als verdachte dan als een slachtoffer dat tegen een ernistig misdrijf aangifte kwam doen. Uiteindelijk door die hele situatie heb ik dus besloten om niet door te gaan met de aangifte.    Mijn vraag is nu dus:  Is het mogelijk om gewoon in mijn eigen woonplaats aangifte te doen, heeft het nog zin om naar 2,5 jaar aangifte te doen en mogen ze mij zo behandelen? Ook ondanks het feit dat ik ook bewijzen had van het misdrijf (smsjes etc) En de dader het ook heeft toegegeven aan verschillende personen.    Met vriendelijke groet,    Hilke Nieuwenhuizen"
425153,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Geachte heer/mevrouw,    Mijn werkgever wil ons plots verplichten om vakantie in de bouwvak te nemen.Wij hebben geen cao maar een handboek met daarin de regels beschreven.Hierin staat dat dit overleg moet gebeuren.Mag mijn werkgever dit zomaar eisen?    Met vriendelijke groet,    B.Folkers"
425175,Aansprakelijkheidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Situatie:  Een pand, met onderin een cafe.  Verdiepingen erboven worden door kamerbewoners bewoond.  Ik woon in een kamer boven het cafe.  Er ontstaat brand in het cafe.  Ik heb rookschade.    Vraag:  De verzekeraar weigert uitkering.  Wat zijn mijn kansen voor juridische vervolging van de claim ?  Sta ik in mijn recht om te claimen ?  En als dit voor de rechter komt, moet ik in dat geval zelf kosten betalen ?"
425188,Consumentenrecht - (overig),Reactie via formulier op jurofoon.nl,wij hebben een auti vw passat   dit blok was kapot hebben we auto garage ernst benaderd om deze auto te maken zij hebben voor ons een nieuw blok ( 2 hands ) gekocht en dit blok in de auto gelegd   nu is het zo dat de auto alles hehalve normaal rijd   ernst zegt dat dit ons robleem is en dat het aan het blok ligt en dat wij deze zelfmaar terug moeten brenegn   graag wil ik weten wat me rechten hie rin zijn   en wat ik van de auto garage kan verwachte
425214,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"Dochter werkt bij New Yorker Nederland BV (Duits kledingbedrijf)  Volledige baan 38 uur per week. 25 vakantiedagen.  Begin van het jaar starten alle personeelsleden met een -/- aantal uren.  Mijn dochter -/- 52 uur.  Deze dient zij d.m.v. overwerkuren weer in te lopen. Staat zij aan het eind van het jaar nog negatief qua uren, bijv.    -/- 16, dan worden ter compensatie 2 vakantiedagen ingetrokken.  Vraag: is deze werkwijze wettelijk toegestaan???"
425234,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,Hoe kom ik zo snel als mogenlijk aan een Grosse voor het LBIO innig voor alimentatie.
425248,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"ik ben meer als 8 wk ziek.mijn werkgever stuurt mij een brief voor een afspraak i,v,m . het reintegratiebesluit van de arboarts die mijn werkgever heeft aangesteld.Ik ben psychis niet in staat deze afspraak na te komen en vraag mijn werkgever om een  spreekuur met de arboarts.Hier reageert hij niet op.Ik krijg wel een dreigende brief dat ik op mijn afspraak moet komen,omdat de arboarts geen aanwijzing vindt dat ik niet een gesprek aan kan gaan.Stel,ik ben geestelijk,lichamelijk mishandelt door mijn werkgever.Moet ik dan ook toestemming vragen aan mijn werkgever voor een spreekuur? de afspraak met mijn werkgever is 7 jan.maar ben psychis niet in staat.Wat moet ik doen? Mijn dochter schrijft dit voor mij."
425265,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Helaas staan er bij ons op 30cm van de erfscheiding coniferen van de buren.Deze hellen over naar onze kant,Ik heb diversen malen gevraagd of de buur deze terug kon snoeien.De buur zei helaas ze staan meer dan 20 jaar,dus bekijk het maar.Als ik zelf de takken ga snoeien moet ik ook in de stammen zagen ivm overhangen.In de loop der jaren zijn er al diversen op onze grond omgevallen,dus er is behoorlijk overlast.Ook nu zijn er enkelen dood en hangen in elkaar.Het is natuurlijk een kwestie van tijd,maar wat kan ik hier aan doen?"
425266,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"Ik heb eind 2007 relatie met partner(samenlevingscontract) en vader van mijn 2 kinderen  (12 en 14 jaar)verbroken. We hadden een concept ouderschapsplan opgesteld en ons voornemen was om co ouders te zijn voor onze kinderen. De boosheid van mijn ex naar mij maakt tot nu toe ieder overleg over kinderen of geld onmogelijk. De kinderen zijn wel de ene helft van de week bij mij en de andere helft bij hem. Ik heb op allerlei manieren geprobeert om afspraken rond de kinderen met hem te maken (ook mediation is mislukt), hij wil mij niet zien en wil op geen enkele manier verantwoording aan mij afleggen.  Ik ben het nu zo zat en ik wil nu via de rechter vragen om af te dwingen dat er afspraken komen.. Wat moet ik hiervoor doen en waar moet ik rekening mee houden. Het gezag voor de kinderen ligt bij mij. ( een brief met onze hantekeningen voor gezamelijk gezag is door mijn ex vergeten te posten) Mijn uitgangspunt is dat ik co ouderschap zoals dat nu gaat , dus zonder overleg onmogelijk vind. Ik wil duidelijkheid voor mijzelf en de kinderen. Het is niet mijn bedoeling om mijn ex de kinderen af te nemen."
425272,Huurrecht - Huurzaken particulieren,Reactie via formulier op jurofoon.nl,"Mijn verhuurder verzaakt om een aantal werkzaamheden bij mij uit te voeren, Lekkage en de verwarming die niet meer werkt.    Hij geeft aan dat ik nu verplicht ben om bij de werkzaamheden aanwezig te zijn, overdag, maar ik kan nu geen vrij krijgen, In het verleden was dit ook niet noodzakelijk.  Wij zitten in een verschil van mening omtrent de afrekening, hij kan niet aantonen dat ik deze kosten daadwerkelijk ook heb verbruikt dit wordt nu uitgezocht.  Ik vermoed dat hij daarom nu zo moeilijk doet.  Ik heb aangegeven dat omdat ik nu ook zonder verwarming zit, ik anders genoodzaakt zal zijn om zelf de reparaties uit te voeren en de kosten hiervan af te rekenen met de huur.  Mag dit ?  Verder blijkt nu dat de verwarming van de overige woningen het nu wel doen, en die van mij nog steeds niet, er is slechts een cv ketel waar dit wordt geregeld, of hij is het vergeten of hij weigert alsnog om hier naar te kijken,.  Alvast dank voor jullie reply"
425273,Huurrecht - Huurzaken bedrijven,Reactie via formulier op jurofoon.nl,"Huur sinds juni 2001 een bedrijfspand , vanaf 2007 is de bovenbuurman eigenaar geworden, deze heeft jarenlang geprobeert de huur te verhogen, of te beendigen , het oude contract loopt af op 1 juni 2011 .  een nieuw contract is er nooit gemaakt? heeft de nieuwe eigenaar recht van spreken. er is indertijd wel schriftelijk meegedeelt dat het pand van eigenaar zou wisselen."
425318,Huurrecht - (overig),Reactie via formulier op jurofoon.nl,De gezondheid van mijn zus is het afgelopen jaar dusdanig verslechterd dat zij in een rolstoel terecht is gekomen. Zij woont in een flat. Ze kan de liftdeuren niet openkrijgen en de woningbouwvereniging wil dit niet aanpassen. Ze moet nu dus verhuizen omdat ze zelf haar huis niet meer uitkan. Heeft zij recht op een verhuisvergoeding van de woningbouwvereniging?
425324,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"Geachte Heer / Mevrouw ,  Mij dochter is 13 jaar en woont nu bij moeder maar wil graag bij vader wonen , moeder werkt niet mee en probeerd alles tegen te houden . mijn dochter heeft zelf kinderrechtshulp maastricht ingeschakeld en de procedure loopt nu , een keer in de twee weken gaat ze naar vader , nu wil ze niet meer terug naar haar moeder  na het weekend ! kan ze nu al bij mij blijven ? en wat als ze wegloopt ? wat zijn dan de gevolgen?    een bezorgde vader ,"
425333,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,voor overname van een zonnestudio is een aanbetaling gedaan .de bak\nf financiering is op het laatase moment na positief te zijn niet doorgegaan .de ondenemer wist ook dat ik nog geen bankgarantie had maar wou voor het eind v/h jaar de overname geregeld hebben .Opmondeling positief bankadvies zijn we hierop ingegaan .in het overname cotract staat niet dat ik mijn geld kwijt ben maar dat als de betaling niet geschied voor de eerste week van januari de koop vervald. Ze geven me de tijd de fianciering rond te krijge maar ben ik mijn geld ten alle tijden kwijt ook als ik geen financiering rond krijg?
425335,Huurrecht - Huurzaken particulieren,Reactie via formulier op jurofoon.nl,"kan iemand van 40 die in een 60 plus woning woont in getrokken bij haar ouders en met een zoon van 15 iliegaal die al 3 maanden van 23-tot 3uur s,nachts overlast veroorzaakt,ik wil m,n woon genot terug,hoe moet ik dat aan pakken.  ik woon van patrimonium,en die weten er van,maar doen er weinig aan.kan nergens terecht."
425339,Bestuursrecht - (overig),Reactie via formulier op jurofoon.nl,"Is er een nieuwe bouwvergunning nodig bij de revitalisering van een antennemast  welke precies hetzelfde blijft maar alleen zal worden afgebroken en worden gestraald en daarna, na feitelijk groot onderhoud te hebben uitgevoerd, weer teruggeplaatst zal worden en opgebouwd."
425364,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,"Ik ben een zelfstandig ondernemer en in het bezit van een B.V.   nu huur ik al drie jaar een Z.z.p.er in hij leverden altijd goed werk, maar op de laatste klus was het zeer slecht. mijn opdrachtgever is nu niet meer tevreden over  ons werk en ik zal in de toekomst waarschijnlijk geen opdrachten meer van deze opdrachtgever ontvangen, terwijl ik in het verleden met deze klant een goede relatie had en veel opdrachten binnen haalden. mijn vraag is kan ik de Z.z.p. aansprakelijk stellen"
425384,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,Wij hebben ons huis verkocht. Voorbehoud voor financiering voor de verkopende partij is inmiddels verlopen.  Echter zij hebben na het verstreken van de betreffende datum de vraag gesteld of ivm het regelen van de financiering toch nog twee weken uitstel van het transport/overdracht mogelijk is. Als we daarmee akkoord gaan heeft dit dan evt. gevolg voor onze rechstpositie ( m.n. ten aanzien van opeisbare boete mochten zij de financiering geheel niet kunnen regelen)? Groet Richard Klapwijk
425410,Personen- en familierecht - (overig),Reactie via formulier op jurofoon.nl,"goedemiddag,     Ik heb een vraag over een vriend. Hij heeft 3 jaar een relatie gehad maar niet getrouwd en geen samenlevingscontract. Uit dat huwelijk is een kind geboren en hij heeft het kind wel erkend. Zij heeft ook al 2 kinderen uit eerdere relaties en staat onder jeugdzorg. nu dreigt ze hem het kind niet meer te laten zien, maar hoe kan hij eventueel zijn rechten regelen om zijn kind te blijven zien of zelfs de voogdij op te eisen om te zorgen dat de kleine ook niet onder jeugdzorg gaat vallen?    Graag uw advies    met vriendelijke groet,   janneke van der Mije"
425413,Arbeidsrecht - (overig),Reactie via formulier op jurofoon.nl,"ik ben werkzaam in het basisonderwijs. mijn werkdagen zijn maandag en dinsdag. nu verplicht mijn werkgever mij om 10 woensdagen terug te komen, dit valt onder de normjaartaak. Kan dit zomaar? Ik heb nl voor deze woensdag ontslag genomen, dus geld ingeleverd, om meer tijd thuis te hebben. Nu kost het me alleen geld, nl de kinderopvang en de reiskosten.    mvg C. Vroomen"
425425,Personen- en familierecht - Echtscheiding,Reactie via formulier op jurofoon.nl,"In mei ben ik gescheiden en in september is mijn ex-vrouw verhuisd. Na haar verhuizing kwam er post binnen die ik opende. Daar bleek een bankafschrift van mijn ex-vrouw in te zitten, waaruit bleek dat zij een spaarloonregeling heeft, en een opgebouwd saldo van bijna €1000. Dit heeft zij in de scheidingsprocedure verzwegen. Ik heb natuurlijk recht op die €500. Op mijn verzoek om dat geld alsnog te storten krijg ik de deksel op de neus. Hoe kan ik met zo min mogelijk kosten toch eisen dat dit bedrag aan mij betaald wordt?"
425492,Huurrecht - Huurzaken particulieren,Reactie via formulier op jurofoon.nl,"ik heb een huurkontrakt van 1 jaar deze loopt binnen kort af, de verhuuder wil het niet verlengen, ik heb momenteel geen geld om weer een huis op nieuw in te richten.  Is er een mogelijkheid dat dit kontrakt wel verlengd wordt?  De verhuur loopt via een makelaar en er is een officiel huurkontrakt."
425497,Personen- en familierecht - Echtscheiding,Reactie via formulier op jurofoon.nl,Ik wil scheiden en heb gezamelijk met partner een koopwoning. Ben getrouwd in gemeenschap van goederen. Wat moet ik eerst doen:woning verkopen en dan scheiden of eerst scheiden en dan woning verkopen en hoe zit het dan na scheiding met de inboedel.
425502,Verbintenissenrecht (algemeen) - (overig),Reactie via formulier op jurofoon.nl,ik heb opdracht gegeven voor een reparatie 2 jaar geleden. Nota is toendertijd betaald en garantie gekregen dat wanneer lekkage weer ontstond binnen 2 jaar het onder de garantie zou vallen.Echter lekkage is binnen die tijd ontstaan en nu wilt de reparateur werderom betaald worden.  Ben het daar niet mee eens.
425523,Alimentatiezaken - Alimentatie,Reactie via formulier op jurofoon.nl,Mijn nieuwe vriend betaald alimentatie voor zijn zoontje. Nu willen wij gaan samenwonen. Zijn ex wil dan meer alimentatie omdat zij zegt dat het gezinsinkomen dan hoger wordt. Kan zij aanspraak maken op mijn inkomen?
